URL	Label Comment
www.grpmcollections.org/index.php/Browse/removeCriteria/facet/collection_facet/id/*	_cse_d6ieoekzj1u	
www.mpm.edu/research-collections/geology/collections-overview/*	_cse_d6ieoekzj1u	
www.outreach.geos.vt.edu/museum/*	_cse_d6ieoekzj1u	
www.tyrrellmuseum.com/*	_cse_d6ieoekzj1u	
www.fieldmuseum.org/explore/our-collections/*	_cse_d6ieoekzj1u	
www.jdcoopercenter.org/collections/*	_cse_d6ieoekzj1u	
www.jdcoopercenter.org/archaeocollections/*	_cse_d6ieoekzj1u	
www.flmnh.ufl.edu/vertpaleo/*	_cse_d6ieoekzj1u	
www.flmnh.ufl.edu/invertpaleo/*	_cse_d6ieoekzj1u	
www.smm.org/paleontology/collections/*	_cse_d6ieoekzj1u	
www.gla.ac.uk/hunterian/collections/research/*	_cse_d6ieoekzj1u	
www.cincymuseum.org/research/*	_cse_d6ieoekzj1u	
www.cincymuseum.org/research/*	_cse_d6ieoekzj1u	
www.nmnaturalhistory.org/paleontology/*	_cse_d6ieoekzj1u	
invertebratepaleontology.biodiversity.ku.edu/collections-search/*	_cse_d6ieoekzj1u	
nature.ca/en/research-collections/our-scientific-services/*	_cse_d6ieoekzj1u	
www.carnegiemnh.org/mollusks/*	_cse_d6ieoekzj1u	
www.carnegiemnh.org/science/*	_cse_d6ieoekzj1u	
www.snomnh.ou.edu/collections-research/*	_cse_d6ieoekzj1u	
fossilworks.org/?a=taxonSearchForm/*	_cse_d6ieoekzj1u	
natural-history.uoregon.edu/collections/web-galleries/condon-collection/*	_cse_d6ieoekzj1u	
http:imnh.isu.eduhomeindex.phpcollections-and-researchcollection-information/*	_cse_d6ieoekzj1u	
www.cas.umt.edu/paleontology/browseCollections.cfm?collectionID=UMIP/*	_cse_d6ieoekzj1u	
www.cas.umt.edu/paleontology/collections.cfm/*	_cse_d6ieoekzj1u	
clas.uiowa.edu/ees/facilities/paleontology-repository/*	_cse_d6ieoekzj1u	
www.museumoftherockies.org/Collections/*	_cse_d6ieoekzj1u	
www.gns.cri.nz/Home/Our-Science/Earth-Science/Fossils/Online-Resources/National-Paleontological-Collection-and-Database/*	_cse_d6ieoekzj1u	
www.lsa.umich.edu/paleontology/collections/invertebratepaleontologycollection/*	_cse_d6ieoekzj1u	
www.lsa.umich.edu/paleontology/collections/paleobotanycollection/*	_cse_d6ieoekzj1u	
